"year","name","value"
1975,"sockeye",1.63298678293854
1975,"pacific.halibut",1.77632006680149
1975,"chum",1.58967091573239
1975,"pacific.herring",2.01038754363238
1975,"shrimp",2.61916573634755
1975,"sablefish",2.26016073237202
1975,"pacific.cod",1.61155632313739
1975,"king.crab",1.86584539474894
1975,"coho",1.27492079042673
1975,"tanner.crab",1.91466032685859
1975,"other.flatfish",1.53362981454937
1975,"atka.mackerel",0
1975,"dungeness",1.0470709650703
1976,"pink",2.60436145302448
1976,"walleye.pollock",3.04991623403164
1976,"slope.rockfish",2.61788471158538
1976,"sockeye",2.00646855066995
1976,"pacific.halibut",1.77547197867876
1976,"chum",1.84657485790931
1976,"pacific.herring",1.95493725989976
1976,"shrimp",2.6838766246075
1976,"sablefish",2.29482310007433
1976,"pacific.cod",1.61269002508583
1976,"king.crab",1.71207808048868
1976,"coho",1.42053501220516
1976,"tanner.crab",2.15769361559836
1976,"other.flatfish",1.57085642797424
1976,"atka.mackerel",0
1976,"dungeness",0.897555214148363
1977,"pink",2.69663931312275
1977,"walleye.pollock",3.25379920462417
1977,"slope.rockfish",2.20064303131883
1977,"sockeye",2.03696263921673
1977,"pacific.halibut",1.64266028703815
1977,"chum",1.91778700942166
1977,"pacific.herring",1.83007622897939
1977,"shrimp",2.71268655723327
1977,"sablefish",2.03471086616671
1977,"pacific.cod",1.22705175245759
1977,"king.crab",1.59634983268541
1977,"coho",1.46010292806116
1977,"tanner.crab",2.03719923398687
1977,"other.flatfish",2.02219044868017
1977,"atka.mackerel",2.10018624020542
1977,"dungeness",0.833655812764334
1978,"pink",3.13051961502068
1978,"walleye.pollock",3.08707915549831
1978,"slope.rockfish",1.69096734448239
1978,"sockeye",2.16228302750227
1978,"pacific.halibut",1.72615100388853
1978,"chum",1.88837233716725
1978,"pacific.herring",1.73464305848459
1978,"shrimp",2.28969631682738
1978,"sablefish",1.72556741750754
1978,"pacific.cod",1.86853366306824
1978,"king.crab",1.62120555148319
1978,"coho",1.69008766963247
1978,"tanner.crab",2.20876138502812
1978,"other.flatfish",1.97445213537773
1978,"atka.mackerel",2.10376644494578
1978,"dungeness",1.28280949265974
1979,"pink",3.15677677159469
1979,"walleye.pollock",3.15041578948462
1979,"slope.rockfish",1.77475685539257
1979,"sockeye",2.24130431513495
1979,"pacific.halibut",1.76506243332048
1979,"chum",1.80869874257582
1979,"pacific.herring",1.85477855345427
1979,"shrimp",2.17198539018945
1979,"sablefish",1.79363920241198
1979,"pacific.cod",1.96483330237323
1979,"king.crab",1.71624737438169
1979,"coho",1.75552913435365
1979,"tanner.crab",2.14173924191456
1979,"other.flatfish",1.93184460549379
1979,"atka.mackerel",1.81904571647709
1979,"dungeness",1.17498067577037
1980,"pink",3.3518902130774
1980,"walleye.pollock",3.23926761964178
1980,"slope.rockfish",1.87921002155995
1980,"sockeye",2.46449058744887
1980,"pacific.halibut",1.75293575301199
1980,"chum",2.19859933912537
1980,"pacific.herring",2.06159561188043
1980,"shrimp",1.87550727558154
1980,"sablefish",1.70963185616185
1980,"pacific.cod",2.4382711300532
1980,"king.crab",1.84542235014612
1980,"coho",1.71496012605849
1980,"tanner.crab",1.95003350442148
1980,"other.flatfish",1.9951700317068
1980,"atka.mackerel",1.90486175665696
1980,"dungeness",1.16907996521264
1981,"pink",3.27567569488072
1981,"walleye.pollock",3.43466865331251
1981,"slope.rockfish",1.86830369440728
1981,"sockeye",2.42864259231848
1981,"pacific.halibut",1.82954575430408
1981,"chum",2.35296086648078
1981,"pacific.herring",2.23740841249726
1981,"shrimp",1.8960476056647
1981,"sablefish",1.77457793943129
1981,"pacific.cod",2.45171506369736
1981,"king.crab",1.87822979330872
1981,"coho",1.76841713241599
1981,"tanner.crab",1.76841713241599
1981,"other.flatfish",1.96351364731872
1981,"atka.mackerel",2.08025729003295
1981,"dungeness",1.56534536231679
1982,"pink",3.35531706423692
1982,"walleye.pollock",3.6039127265303
1982,"slope.rockfish",1.68131962659413
1982,"sockeye",2.55942353330328
1982,"pacific.halibut",1.79324915363337
1982,"chum",2.38472531018964
1982,"pacific.herring",2.06299225146614
1982,"shrimp",1.7644256042586
1982,"sablefish",1.71028187789665
1982,"pacific.cod",2.32984275825405
1982,"king.crab",1.48085894929913
1982,"coho",1.9846043919694
1982,"tanner.crab",1.79830006249537
1982,"other.flatfish",1.74527389213692
1982,"atka.mackerel",1.61245154965971
1982,"dungeness",1.59128650018864
1983,"pink",3.26031109001348
1983,"walleye.pollock",3.83173591308343
1983,"slope.rockfish",1.64960994324039
1983,"sockeye",2.64373770253197
1983,"pacific.halibut",1.86734457641081
1983,"chum",2.26234453821268
1983,"pacific.herring",1.95094315307581
1983,"shrimp",1.55997306863958
1983,"sablefish",1.73214702459603
1983,"pacific.cod",2.45862410788696
1983,"king.crab",0.426214759535436
1983,"coho",1.81139679033967
1983,"tanner.crab",1.84034955261395
1983,"other.flatfish",1.88636433743486
1983,"atka.mackerel",1.87121037833866
1983,"dungeness",1.45752607632015
1984,"pink",3.52951095360726
1984,"walleye.pollock",4.18722179435894
1984,"slope.rockfish",1.4525757478302
1984,"sockeye",2.52416730105914
1984,"pacific.halibut",1.96641338672392
1984,"chum",2.43555895097569
1984,"pacific.herring",2.07493265302515
1984,"shrimp",1.27828536087871
1984,"sablefish",1.78841748994576
1984,"pacific.cod",2.21096212225325
1984,"king.crab",0.366284150148471
1984,"coho",1.90814473812332
1984,"tanner.crab",1.66460818954385
1984,"other.flatfish",1.62155746472373
1984,"atka.mackerel",1.0362327806259
1984,"dungeness",1.41137661014989
1985,"pink",3.61245981288293
1985,"walleye.pollock",4.10812608306744
1985,"slope.rockfish",1.02107439568244
1985,"sockeye",2.67394185330937
1985,"pacific.halibut",2.0477908265378
1985,"chum",2.33154093867953
1985,"pacific.herring",2.19155556193875
1985,"shrimp",1.18276293530406
1985,"sablefish",1.87951132187772
1985,"pacific.cod",1.94895375123656
1985,"king.crab",0.38943229049609
1985,"coho",2.02237181918728
1985,"tanner.crab",1.6116160513336
1985,"other.flatfish",1.32454633066028
1985,"atka.mackerel",1.16593809331255
1985,"dungeness",1.37322100574223
1986,"pink",3.46712873384968
1986,"walleye.pollock",3.11014528117395
1986,"slope.rockfish",1.31398526174825
1986,"sockeye",2.65264913791023
1986,"pacific.halibut",2.23689486387092
1986,"chum",2.42605554188048
1986,"pacific.herring",2.22065945642948
1986,"shrimp",1.11416794546182
1986,"sablefish",2.15617391034778
1986,"pacific.cod",2.23633625737154
1986,"king.crab",0.416179145028782
1986,"coho",2.05520334593944
1986,"tanner.crab",1.57298047298519
1986,"other.flatfish",1.26379785714386
1986,"atka.mackerel",0.251486685936587
1986,"dungeness",1.24323731701651
1987,"pink",3.04003407589137
1987,"walleye.pollock",2.88770234914483
1987,"slope.rockfish",1.49392617105163
1987,"sockeye",2.70912273991271
1987,"pacific.halibut",2.22609568364321
1987,"chum",2.30184498848944
1987,"pacific.herring",2.22874247623657
1987,"shrimp",1.06199330242226
1987,"sablefish",2.26512459104265
1987,"pacific.cod",2.39567335465193
1987,"king.crab",0.419604776684668
1987,"coho",1.78477886753634
1987,"tanner.crab",1.38050015571584
1987,"other.flatfish",1.77493571725983
1987,"atka.mackerel",0.177827941003892
1987,"dungeness",1.39967189633839
1988,"pink",3.13383901966593
1988,"walleye.pollock",2.84621254881111
1988,"slope.rockfish",1.9266570901683
1988,"sockeye",2.6442381555638
1988,"pacific.halibut",2.32139557898325
1988,"chum",2.47220385107568
1988,"pacific.herring",2.33708351485269
1988,"shrimp",1.05439810734607
1988,"sablefish",2.3384532404508
1988,"pacific.cod",2.4112131270761
1988,"king.crab",0.385128510684308
1988,"coho",1.87690782692217
1988,"tanner.crab",1.37783177348089
1988,"other.flatfish",1.79038098877443
1988,"atka.mackerel",0
1988,"dungeness",1.44243714113578
1989,"pink",3.69983662274482
1989,"walleye.pollock",2.97392117307468
1989,"slope.rockfish",2.08785256980411
1989,"sockeye",2.65945369774987
1989,"pacific.halibut",2.25063827430593
1989,"chum",2.00915568794155
1989,"pacific.herring",2.20403658533444
1989,"shrimp",1.01033856326183
1989,"sablefish",2.33725975737363
1989,"pacific.cod",2.56510070684663
1989,"king.crab",0
1989,"coho",1.92892524791389
1989,"tanner.crab",1.31354425303981
1989,"other.flatfish",1.82573729397879
1989,"atka.mackerel",0
